"Index","X","Y","Error"
"1","75.053","219.966","0.0512519133368524"
"2","77.032","221.273","0.427284973145399"
"3","79.562","221.904","0.0735353539181048"
"4","80.656","222.54","0.257745129389733"
"5","83.11","222.983","0.242332416321043"
"6","84.216","223.604","0.0765064793289148"
"7","86.781","224.179","0.495249466918182"
"8","88.207","225.569","0.265730028931342"
"9","90.797","226.107","0.196651363129513"
"10","91.829","226.537","0.180681564046274"
"11","94.107","227.687","0.041038669737145"
"12","95.251","228.253","0.141685543029081"
"13","98.293","229.32","0.00259973473447531"
"14","99.346","229.716","0.0207978778758183"
"15","101.913","230.309","0.423571066381862"
"16","103.081","230.835","0.368976636957796"
"17","105.427","231.865","0.283928172072701"
"18","106.606","232.37","0.252917050597128"
"19","108.865","233.219","0.303611877919494"
"20","110.053","233.704","0.294512806348822"
"21","112.883","235.197","0.0406672790607785"
"22","114.083","235.656","0.0211692685521847"
"23","116.38","236.421","0.121630446505969"
"24","117.588","236.86","0.162669116243077"
"25","120.698","237.772","0.47092337761702"
"26","121.611","238.798","0.142614019719992"
"27","123.941","239.475","0.0941475364557662"
"28","125.166","239.866","0.186066728853397"
"29","128.09","241.114","0.113274156287999"
"30","129.324","241.478","0.233604735426717"
"31","131.849","243.138","0.369905113648707"
"32","133.091","243.476","0.22246301513612"
"33","135.579","244.127","0.0971186618665816"
"34","136.525","245.036","0.395531070317135"
"35","138.83","245.677","0.134629120178356"
"36","140.082","245.968","0.0601652895693724"
"37","143.067","246.957","0.250503011200841"
"38","144.323","247.22","0.472780330998778"
"39","146.539","248.31","0.283742476734528"
"40","148.158","248.856","0.378075708528488"
"41","149.597","250.067","0.211878380860046"
"42","150.077","250.466","0.472318748304582"
